EnrollmentID,StudentID,CourseID,Semester,Year,MidtermScore,FinalScore,TotalScore,LetterGrade
1,2500175,251CN3,1,2025,5.6,6.3,6.0,C
2,2500896,251ML3,1,2025,9.4,5.0,6.8,C
3,2500360,251SE2,1,2025,3.3,6.0,4.9,D
4,2500309,251DB1,1,2025,7.6,3.8,5.3,D
5,2500607,251OOP3,1,2025,8.8,5.8,7.0,B
6,2500554,251DM1,1,2025,4.3,6.3,5.5,C
7,2500972,251OOP3,1,2025,9.9,7.7,8.6,A
8,2500623,251DM2,1,2025,5.8,4.3,4.9,D
9,2500907,251OS2,1,2025,7.7,7.8,7.8,B
10,2500374,251DB2,1,2025,9.1,8.0,8.4,B
11,2500766,251DB1,1,2025,5.9,3.1,4.2,D
12,2500620,251AI2,1,2025,9.6,5.0,6.8,C
13,2500523,251CN3,1,2025,9.1,7.6,8.2,B
14,2500125,251CN3,1,2025,4.0,5.6,5.0,D
15,2500923,251OS3,1,2025,7.4,9.0,8.4,B
16,2500425,251CN2,1,2025,7.3,3.6,5.1,D
17,2500500,251SE2,1,2025,5.6,8.8,7.5,B
18,2500168,251WP2,1,2025,7.7,8.9,8.4,B
19,2500910,251WP3,1,2025,3.5,7.7,6.0,C
20,2500100,251ML3,1,2025,7.1,9.7,8.7,A
21,2500327,251DM3,1,2025,5.0,7.1,6.3,C
22,2500436,251OOP3,1,2025,3.5,4.3,4.0,D
23,2500373,251WP3,1,2025,8.3,5.4,6.6,C
24,2500750,251DS2,1,2025,3.1,6.6,5.2,D
25,2500668,251OOP3,1,2025,5.4,7.0,6.4,C
26,2500937,251DM2,1,2025,4.9,9.5,7.7,B
27,2500545,251AI3,1,2025,4.1,5.4,4.9,D
28,2500331,251OOP1,1,2025,6.8,3.2,4.6,D
29,2500101,251OS1,1,2025,9.9,5.6,7.3,B
30,2500976,251DM2,1,2025,7.0,4.1,5.3,D
31,2500404,251DB3,1,2025,4.1,6.6,5.6,C
32,2500650,251DS2,1,2025,3.7,9.9,7.4,B
33,2500516,251DS2,1,2025,9.5,5.8,7.3,B
34,2500824,251ML2,1,2025,8.1,9.3,8.8,A
35,2500664,251DB1,1,2025,3.8,4.1,4.0,D
36,2500770,251OOP2,1,2025,5.9,6.0,6.0,C
37,2500418,251ML2,1,2025,9.9,6.9,8.1,B
38,2500951,251ML2,1,2025,8.3,5.9,6.9,C
39,2500208,251ML1,1,2025,7.4,9.7,8.8,A
40,2500981,251CN2,1,2025,8.9,8.8,8.8,A
41,2500268,251CN3,1,2025,3.1,7.4,5.7,C
42,2500428,251CN1,1,2025,9.3,4.5,6.4,C
43,2500925,251SE3,1,2025,7.6,5.4,6.3,C
44,2500901,251OS2,1,2025,5.9,3.7,4.6,D
45,2500367,251DS2,1,2025,3.3,9.1,6.8,C
46,2500963,251OS3,1,2025,8.8,9.0,8.9,A
47,2500459,251DB2,1,2025,6.8,5.2,5.8,C
48,2500039,251SE3,1,2025,3.5,6.0,5.0,D
49,2500463,251CN2,1,2025,3.1,3.0,3.0,F
50,2500693,251CN1,1,2025,7.2,6.0,6.5,C
51,2500070,251OOP1,1,2025,9.3,3.3,5.7,C
52,2500940,251DS2,1,2025,4.7,9.6,7.6,B
53,2500513,251SE2,1,2025,8.1,8.5,8.3,B
54,2500469,251SE1,1,2025,8.7,9.3,9.1,A
55,2500495,251SE3,1,2025,9.3,4.3,6.3,C
56,2500115,251DB2,1,2025,5.7,7.0,6.5,C
57,2500069,251OOP3,1,2025,6.4,7.8,7.2,B
58,2500289,251CN3,1,2025,7.4,9.0,8.4,B
59,2500898,251WP2,1,2025,8.2,8.0,8.1,B
60,2500361,251SE3,1,2025,3.4,8.7,6.6,C
61,2500029,251WP3,1,2025,8.7,3.3,5.5,C
62,2500961,251CN1,1,2025,6.7,5.9,6.2,C
63,2500265,251DB1,1,2025,6.8,9.8,8.6,A
64,2500921,251SE1,1,2025,8.2,6.4,7.1,B
65,2500508,251ML2,1,2025,3.5,5.6,4.8,D
66,2500179,251DB1,1,2025,7.0,6.7,6.8,C
67,2500548,251DB2,1,2025,4.2,7.9,6.4,C
68,2500617,251SE1,1,2025,8.3,7.7,7.9,B
69,2500002,251OS1,1,2025,5.2,6.6,6.0,C
70,2500562,251AI3,1,2025,5.3,7.8,6.8,C
71,2500162,251CN1,1,2025,8.5,9.9,9.3,A
72,2500114,251AI2,1,2025,8.5,6.6,7.4,B
73,2500171,251OOP3,1,2025,4.4,3.6,3.9,F
74,2500176,251WP1,1,2025,9.8,8.6,9.1,A
75,2500697,251WP1,1,2025,4.4,7.5,6.3,C
76,2500618,251DS2,1,2025,9.7,4.2,6.4,C
77,2500311,251SE2,1,2025,8.6,4.9,6.4,C
78,2500159,251CN2,1,2025,7.3,8.8,8.2,B
79,2500605,251CN3,1,2025,3.5,3.7,3.6,F
80,2500116,251CN2,1,2025,3.9,5.5,4.9,D
81,2500111,251SE1,1,2025,8.2,3.4,5.3,D
82,2500983,251CN2,1,2025,9.1,3.6,5.8,C
83,2500596,251WP2,1,2025,4.1,7.8,6.3,C
84,2500912,251ML1,1,2025,7.2,5.6,6.2,C
85,2500505,251WP3,1,2025,4.8,8.0,6.7,C
86,2500950,251OOP3,1,2025,6.5,10.0,8.6,A
