COURSE1	Pass:5,Fail:0
COURSE10	Pass:10,Fail:0
COURSE11	Pass:8,Fail:1
COURSE12	Pass:8,Fail:2
COURSE13	Pass:7,Fail:5
COURSE14	Pass:6,Fail:1
COURSE15	Pass:8,Fail:2
COURSE16	Pass:6,Fail:1
COURSE17	Pass:7,Fail:2
COURSE18	Pass:10,Fail:4
COURSE19	Pass:9,Fail:1
COURSE2	Pass:13,Fail:2
COURSE20	Pass:4,Fail:1
COURSE21	Pass:5,Fail:2
COURSE22	Pass:7,Fail:3
COURSE23	Pass:7,Fail:0
COURSE24	Pass:11,Fail:3
COURSE25	Pass:7,Fail:0
COURSE26	Pass:15,Fail:1
COURSE27	Pass:13,Fail:0
COURSE28	Pass:9,Fail:2
COURSE29	Pass:5,Fail:2
COURSE3	Pass:8,Fail:0
COURSE30	Pass:10,Fail:1
COURSE31	Pass:6,Fail:2
COURSE32	Pass:8,Fail:2
COURSE33	Pass:10,Fail:2
COURSE34	Pass:10,Fail:3
COURSE35	Pass:8,Fail:2
COURSE36	Pass:6,Fail:3
COURSE37	Pass:8,Fail:1
COURSE38	Pass:13,Fail:2
COURSE39	Pass:10,Fail:2
COURSE4	Pass:6,Fail:3
COURSE40	Pass:9,Fail:1
COURSE41	Pass:15,Fail:4
COURSE42	Pass:6,Fail:2
COURSE43	Pass:9,Fail:3
COURSE44	Pass:9,Fail:1
COURSE45	Pass:6,Fail:2
COURSE46	Pass:5,Fail:1
COURSE47	Pass:10,Fail:1
COURSE48	Pass:8,Fail:2
COURSE49	Pass:9,Fail:2
COURSE5	Pass:11,Fail:3
COURSE50	Pass:6,Fail:2
COURSE6	Pass:7,Fail:1
COURSE7	Pass:3,Fail:3
COURSE8	Pass:4,Fail:3
COURSE9	Pass:9,Fail:2
